id,language_comments,language_languagecode,language_read,language_speak,language_write
cv48005.xml,inglês: (conversação: básico  leitura e,en,false,true,false
cv48005.xml,[resume_language],pt,true,true,true
cv42861.xml,[resume_language],pt,true,true,true
cv54387.xml,[resume_language],pt,true,true,true
cv52743.xml,[resume_language],pt,true,true,true
cv55151.xml,[resume_language],pt,true,true,true
cv52608.xml,básico: inglês.,en,false,true,false
cv52608.xml,[resume_language],pt,true,true,true
cv50435.xml,[resume_language],pt,true,true,true
cv52474.xml,[resume_language],pt,true,true,true
cv43088.xml,inglês - cursando,en,false,true,false
cv43088.xml,[resume_language],pt,true,true,true
cv54359.xml,[resume_language],pt,true,true,true
cv44295.xml,[resume_language],pt,true,true,true
cv42444.xml,• inglês (intermediário),en,true,true,true
cv42444.xml,[resume_language],pt,true,true,true
cv53136.xml,• inglês intermediário,en,true,true,true
cv53136.xml,[resume_language],pt,true,true,true
cv55103.xml,2015 - 2017 inglês intermediário - wise up,en,true,true,true
cv55103.xml,[resume_language],pt,true,true,true
cv42688.xml,• inglês: nível intermediário - curso,en,true,true,true
cv42688.xml,• espanhol: nível intermediário - curso,es,true,true,true
cv42688.xml,• francês: nível intermediário - curso,fr,true,true,true
cv42688.xml,[resume_language],pt,true,true,true
